sample	circularity
"96 plvx nt"	0.83499999999999996
"96 plvx nt"	0.93
"96 plvx nt"	0.77600000000000002
"96 plvx nt"	0.64200000000000002
"96 plvx nt"	0.69899999999999995
"96 plvx nt"	0.89900000000000002
"96 plvx nt"	0.96899999999999997
"96 plvx nt"	0.90400000000000003
"96 plvx nt"	0.73199999999999998
"96 plvx nt"	0.84199999999999997
"96 plvx nt"	0.96799999999999997
"96 plvx nt"	0.89100000000000001
"96 plvx nt"	0.91100000000000003
"96 plvx nt"	0.93700000000000006
"96 plvx nt"	0.67700000000000004998
"96 plvx nt"	0.92800000000000005
"96 plvx nt"	0.27500000000000002
"96 plvx nt"	0.748
"96 plvx nt"	0.89200000000000002
"96 plvx nt"	0.78300000000000003
"96 plvx nt"	0.90900000000000003
"96 plvx sn38"	0.20100000000000001
"96 plvx sn38"	0.88200000000000001
"96 plvx sn38"	0.125
"96 plvx sn38"	0.93
"96 plvx sn38"	0.104
"96 plvx sn38"	0.316
"96 plvx sn38"	0.40300000000000001999
"96 plvx sn38"	0.371
"96 plvx sn38"	0.33600000000000002
"96 plvx sn38"	0.25600000000000001
"96 plvx sn38"	0.95099999999999996
"96 plvx sn38"	0.91100000000000003
"96 plvx sn38"	0.82299999999999995002
"96 plvx sn38"	0.90700000000000003
"96 plvx sn38"	0.25900000000000001
"96 plvx sn38"	0.22800000000000001
"96 plvx sn38"	0.66
"96 plvx sn38"	0.67600000000000005
"96 plvx sn38"	0.88500000000000001002
"96 plvx sn38"	0.68
"96 plvx sn38"	0.34599999999999997
"96 plvx sn38"	0.754
"96 plvx sn38"	0.71299999999999997
"96 plvx sn38"	0.188
"96 plvx sn38"	0.125
"96 plvx sn38"	0.88300000000000001
"96 plvx sn38"	0.14099999999999999
"96 plvx sn38"	0.246
"96 plvx sn38"	0.248
"96 prad51 nt"	0.60699999999999998
"96 prad51 nt"	0.78100000000000003
"96 prad51 nt"	0.49299999999999999
"96 prad51 nt"	0.81299999999999994
"96 prad51 nt"	0.80300000000000005
"96 prad51 nt"	0.72599999999999998
"96 prad51 nt"	0.80400000000000005
"96 prad51 nt"	0.80100000000000005
"96 prad51 nt"	0.85499999999999998
"96 prad51 nt"	0.80400000000000005
"96 prad51 nt"	0.79400000000000004
"96 prad51 nt"	0.76
"96 prad51 nt"	0.73799999999999999
"96 prad51 nt"	0.89300000000000002
"96 prad51 nt"	0.77500000000000002
"96 prad51 nt"	0.80300000000000005
"96 prad51 nt"	0.84099999999999997
"96 prad51 nt"	0.64800000000000002
"96 prad51 nt"	0.67500000000000004
"96 prad51 nt"	0.873
"96 prad51 nt"	0.754
"96 prad51 nt"	0.93
"96 prad51 sn38"	0.78500000000000003
"96 prad51 sn38"	0.72099999999999997
"96 prad51 sn38"	0.75900000000000001
"96 prad51 sn38"	0.67600000000000005
"96 prad51 sn38"	0.63400000000000001
"96 prad51 sn38"	0.86199999999999999
"96 prad51 sn38"	0.71199999999999996999
"96 prad51 sn38"	0.86899999999999999
"96 prad51 sn38"	0.89400000000000002002
"96 prad51 sn38"	0.54900000000000004
"96 prad51 sn38"	0.434
"96 prad51 sn38"	0.49199999999999999
"96 prad51 sn38"	0.65
"96 prad51 sn38"	0.25700000000000001
"96 prad51 sn38"	0.68600000000000005
"96 prad51 sn38"	0.68799999999999994
"96 prad51 sn38"	0.53400000000000003
"96 prad51 sn38"	0.40200000000000002
"96 prad51 sn38"	0.93500000000000005
"96 prad51 sn38"	0.89600000000000002
"96 prad51 sn38"	0.64500000000000002
"96 prad51 sn38"	0.68799999999999994
"96 prad51 sn38"	0.51800000000000002
"96 prad51 sn38"	0.84599999999999997
"96 prad51 sn38"	0.82899999999999996
"96 prad51 sn38"	0.79300000000000004
"96 prad51 sn38"	0.72499999999999998
"96 prad51 sn38"	0.68300000000000005
